susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,0.0,0,3.54,0.0
58556,1,1,0,0.10000573030722805,0,3.54,0.0
58555,2,1,0,0.20000262523361975,0,3.54,0.0
58555,2,0,1,0.30005545975181996,0,3.54,0.0
58555,2,0,1,0.39997813405518035,0,3.54,0.0
58555,1,1,1,0.4999018653951512,0,3.54,0.0
58554,2,1,1,0.5998915745459746,0,3.54,0.0
58551,4,2,1,0.6998010626257442,0,3.5399999998935523,4.1744229915717e-11
58550,6,2,0,0.7998569321258335,0,3.5399999997871046,4.1744229915717e-11
58548,6,4,0,0.8998179869763283,0,3.539999999680657,4.1744229915717e-11
58544,8,5,1,0.9873262103404825,0,3.539999999574209,4.1744229915717e-11
58541,10,5,2,0.999986575562355,0,3.5399999994677613,4.1744229915717e-11
58539,11,6,2,1.0,0,3.5399999993613136,4.1744229915717e-11
58531,16,8,3,1.0,0,3.539999999254866,4.1744229915717e-11
58526,18,10,4,1.0,0,3.539999985854481,5.255052855789849e-9
58511,30,11,6,1.0,0,3.5399999724540963,5.255052855789849e-9
58495,40,13,10,1.0,0,3.5399999590537115,5.255052855789849e-9
58479,48,20,11,1.0,0,3.539999945653327,5.255052855789849e-9
58464,51,29,14,1.0,0,3.5399999322529427,5.255052855789849e-9
58447,55,39,17,1.0,0,3.5399999188525584,5.255052855789849e-9
58417,76,45,20,1.0,0,3.539999905452174,5.255052855789849e-9
58375,95,62,26,1.0,0,3.539997491244899,9.46747986079636e-7
58323,116,86,33,1.0,0,3.53999507703991,9.46747986079636e-7
58258,149,105,46,1.0,0,3.5399926628372063,9.46747986079636e-7
58193,183,130,52,1.0,0,3.539990248636788,9.46747986079636e-7
58089,245,163,61,1.0,0,3.5399878344386555,9.46747986079636e-7
57961,317,204,76,1.0,0,3.5399854202428087,9.46747986079636e-7
57821,397,241,99,1.0,0,3.5399830060492476,9.46747986079636e-7
57646,477,314,121,1.0,0,3.5396612628284694,0.00012617465293487338
57459,566,381,152,1.0,0,3.5393395602035307,0.00012617465293487338
57212,672,490,184,1.0,0,3.539017898169309,0.00012617465293487338
56979,744,609,226,1.0,0,3.5386962767206827,0.00012617465293487338
56657,898,738,265,1.0,0,3.538374695852531,0.00012617465293487338
56298,1039,884,336,1.0,1,3.5380531555597337,0.00012617465293487338
55871,1234,1034,418,1.0,1,3.537731655837171,0.00012617465293487338
55406,1395,1240,516,1.0,1,3.522255909675851,0.006074323457834917
54845,1626,1461,623,0.9992402861245389,3,3.506874168202466,0.006074323457834917
54197,1882,1714,762,0.9984962531842223,3,3.491585860402135,0.006074323457834917
53404,2267,1977,907,0.9977557285322619,3,3.4763904187285064,0.006074323457834917
52553,2566,2345,1090,0.9970347029584457,4,3.461287279082688,0.006074323457834917
51402,3102,2760,1286,0.9963259549726492,8,3.446275880792307,0.006074323457834917
50056,3691,3301,1501,0.9956430451444191,9,3.4313556665906964,0.006074323457834917
48373,4422,3952,1799,0.9949536773831701,12,3.3858221191463884,0.01865092746109158
46481,5290,4621,2152,0.9864752646735397,14,3.3411378145925106,0.01865092746109158
44344,6168,5456,2573,0.9780222913492552,17,3.2972869137615164,0.01865092746109158
42014,7054,6421,3047,0.9696658121768336,22,3.2542538729010246,0.01865092746109158
39324,8030,7565,3612,0.9614507837367269,27,3.212023438164052,0.01865092746109158
36392,9105,8772,4256,0.9533464673546951,33,3.170580640202009,0.01865092746109158
33327,10036,10135,5019,0.9453605613842387,41,3.1299107888585405,0.01865092746109158
30220,10902,11528,5863,0.9374598425736185,45,3.064202353876741,0.030706156221049295
27016,11638,13012,6841,0.9393640051412275,51,3.000511572364534,0.030706156221049295
23928,12120,14492,7959,0.9412215944905329,59,2.938776489939281,0.030706156221049295
21017,12368,15943,9167,0.9430986747504294,63,2.878937054599297,0.030706156221049295
18205,12485,17360,10432,0.9448876569908441,76,2.8209350583090425,0.030706156221049295
15674,12358,18600,11841,0.9465909238429034,85,2.764714080378009,0.030706156221049295
13326,12048,19803,13283,0.948229902329284,98,2.7102194325782256,0.030706156221049295
11426,11505,20659,14859,0.9498372901464804,109,2.423518061892294,0.16666558071386867
9999,10512,21496,16432,0.8856353070146886,119,2.1845999416431954,0.16666558071386867
9003,9350,21965,18108,0.8215517111454631,132,1.9855012486484787,0.16666558071386867
8225,8265,22220,19703,0.7574912266657006,145,1.8195854549410986,0.16666558071386867
7594,7303,22204,21303,0.6936711023747467,154,1.6813221133415615,0.16666558071386867
7130,6396,21954,22911,0.6301548932206533,167,1.5661025118611511,0.16666558071386867
6747,5552,21608,24474,0.5666326937786292,177,1.470086052171094,0.16666558071386867
6503,4762,21105,25998,0.5034500256692884,190,1.405443433919174,0.1346479822931463
6242,4122,20532,27462,0.4597477438271057,200,1.3495048137850212,0.1346479822931463
6046,3542,19827,28931,0.41594865940596304,212,1.3010982159841948,0.1346479822931463
5879,3064,19077,30322,0.3716664809608981,216,1.2592094689069255,0.1346479822931463
5783,2648,18299,31604,0.32652855315048984,224,1.2229609571043984,0.1346479822931463
5722,2278,17547,32774,0.2806101869231295,237,1.191593234277211,0.1346479822931463
5674,1967,16761,33911,0.23441377404068464,245,1.164449112037835,0.1346479822931463
5652,1675,15968,35008,0.1880707710576853,255,1.1589250786542387,0.031665586136077874
5642,1466,15204,35978,0.24439168598697894,268,1.1535759670255692,0.031665586136077874
5645,1321,14369,36948,0.3005454685453344,275,1.1483962381519288,0.031665586136077874
5669,1170,13555,37880,0.356605909704254,284,1.1433805284290983,0.031665586136077874
5650,1070,12764,38784,0.4123969753781311,290,1.1385236440945297,0.031665586136077874
5667,990,11996,39607,0.4678138820691327,298,1.1338205558492103,0.031665586136077874
5702,891,11326,40331,0.5224392051337176,308,1.1292663936498284,0.031665586136077874
5762,800,10663,41018,0.575292804813578,315,1.127819771381608,0.010387446894458073
5845,707,10083,41601,0.6542511416434437,322,1.1263881758253753,0.010387446894458073
5896,628,9534,42172,0.7195652434381162,328,1.1249714508919573,0.010387446894458073
5959,603,8935,42726,0.7754392229077048,335,1.1235694421135491,0.010387446894458073
