susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
5054,577,2075,50387,0.026961668431432398,465,3.0286462395931704,0.01
5109,587,2025,50371,0.027068555698355968,466,3.007859777197239,0.01
5152,595,1989,50356,0.027215661761877796,466,2.9872811794252665,0.01
5205,575,1939,50372,0.027394884153926474,467,2.9669083676310137,0.01
5289,573,1900,50327,0.027591231944228328,469,2.9467392839547037,0.01
5344,580,1842,50321,0.02772676532337385,471,2.926771891115157,0.01
5442,578,1837,50229,0.027832323548825963,472,2.9070041722040054,0.01
5531,570,1812,50173,0.02802877187026802,472,2.8874341304819655,0.01
5610,536,1802,50138,0.02819379130191578,472,2.868059789177146,0.01
5679,528,1781,50097,0.02827677139017765,473,2.8488791912853744,0.01
5713,526,1757,50088,0.028438792892929856,474,2.8298903993725206,0.01
5800,516,1712,50054,0.028663133750251618,476,2.8110914953787955,0.01
5839,535,1657,50048,0.028798318317989558,479,2.7924805804250075,0.01
5900,541,1631,50006,0.028917035086676823,480,2.7740557746207575,0.01
5983,515,1623,49955,0.029055565562868046,482,2.75581521687455,0.01
6089,480,1613,49894,0.029127716339324882,482,2.7377570647058045,0.01
6173,502,1587,49814,0.029232759163032487,482,2.7198794940587465,0.01
6251,476,1558,49790,0.02932209217492034,483,2.702180699118159,0.01
6337,474,1526,49737,0.029517040505378372,484,2.6846588921269774,0.01
6401,473,1518,49680,0.029686437521593875,486,2.6673123032057076,0.01
6461,463,1518,49627,0.02982595403534138,489,2.6501391801736505,0.01
6520,477,1509,49563,0.029952370078394557,489,2.633137788371914,0.01
6626,458,1500,49485,0.030076008181829192,489,2.616306410488195,0.01
6716,455,1458,49440,0.030276157162893225,489,2.5996433463833126,0.01
6814,450,1454,49349,0.03044530577341742,491,2.5831469129194793,0.01
6913,444,1425,49285,0.030635488574953282,491,2.5668154437902846,0.01
7006,439,1413,49209,0.030821548749046874,491,2.5506472893523817,0.01
7102,435,1384,49145,0.03098785207492788,492,2.534640816458858,0.01
7211,422,1387,49044,0.031129072805718642,494,2.5187944082942693,0.01
7323,413,1365,48961,0.031285304030328635,496,2.5031064642113265,0.01
7398,397,1346,48921,0.03146956597165778,496,2.4875753995692134,0.01
7505,384,1314,48858,0.03155271767413322,497,2.472199645573521,0.01
7610,371,1321,48759,0.03172522806870553,497,2.456977649117786,0.01
7732,360,1308,48661,0.031850578610684036,497,2.441907872626608,0.01
7804,366,1285,48606,0.03201989257994664,497,2.4269887939003416,0.01
7905,370,1258,48526,0.032237298265765775,499,2.412218905961338,0.01
8021,367,1237,48434,0.03243912191635036,499,2.3975967169017247,0.01
8167,354,1244,48294,0.03251922208596832,499,4.612965870220497,0.01
8063,544,1233,48219,0.032637651025888094,499,4.576336211518292,0.01
7979,664,1258,48156,0.03276137104809675,501,4.540072849403109,0.01
7889,806,1290,48072,0.032917218014313646,501,4.504172120909078,0.01
7805,860,1357,48034,0.0330364858571917,502,4.468630399699987,0.01
7689,939,1426,48002,0.03324300024894891,502,4.4334440957029875,0.01
7594,1009,1516,47936,0.03338837924003431,503,4.398609654745957,0.01
7446,1074,1625,47910,0.03356264769189954,503,4.364123558198498,0.01
7288,1175,1733,47857,0.03371392632590004,505,4.329982322616513,0.01
7165,1209,1867,47811,0.03383231920023997,506,4.296182499390349,0.01
7005,1257,1961,47827,0.03393761195207051,508,4.262720674396445,0.01
6873,1256,2058,47861,0.034054140631198514,510,4.229593467652481,0.01
6713,1303,2172,47860,0.0341980258128567,510,4.196797532975956,0.01
6573,1327,2266,47882,0.03441711109299561,510,3.733971277822353,0.01
6449,1330,2348,47921,0.03453652854941997,510,3.7061315650441293,0.01
6371,1263,2433,47980,0.034641294632658116,511,3.678570249393688,0.01
