susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.006683204661877873
58555,2,0,1,0,3.54,0.0,-0.007116148392325971
58555,1,1,1,0,3.54,0.0,-0.006670790866482229
58554,2,1,1,0,3.54,0.0,-0.00601234580791406
58552,3,2,1,0,3.54,0.0,-0.0053295526606695455
58551,4,2,1,0,3.54,0.0,-0.004681855025111159
58549,6,2,1,0,3.54,0.0,-0.004086478196908739
58548,7,1,2,0,3.54,0.0,-0.0035456161305489507
58546,5,4,3,0,3.54,0.0,-0.0030560842529797154
58546,2,7,3,0,3.54,0.0,-0.0026130099512831906
58538,9,8,3,0,3.54,0.0,-0.0022112843185940314
58529,17,8,4,0,3.54,0.0,-0.0018461171963540385
58522,20,12,4,0,3.54,0.0,-0.0015132200433821603
58510,22,21,5,0,3.54,0.0,-0.0012088337323993559
58492,36,26,4,0,3.54,0.0,-0.0009296945331572215
58473,48,30,7,0,3.54,0.0,-0.0006729790199389629
58445,66,39,8,0,3.54,0.0,-0.00043624553485966386
58403,92,52,11,0,3.54,0.0,-0.00021737944383155294
58356,114,73,15,0,3.54,0.0,-1.4544718664391553e-5
58298,147,95,18,0,3.54,0.0,0.00017385771314947784
58201,204,133,20,0,3.54,0.0,0.0003492252872100282
58096,264,163,35,0,3.54,0.0,0.0005127835397796113
57995,309,202,52,0,3.54,0.0,0.0006656110723630828
57807,419,264,68,0,3.54,0.0,0.000808660500170158
57629,497,346,86,0,3.54,0.0,0.000942776050163395
57400,605,439,114,0,3.54,0.0,0.0010687083754767276
57112,731,572,143,0,3.54,0.0,0.0011871270602188497
56786,881,702,188,1,3.54,0.0,0.0012986312071974677
56396,1068,851,242,1,3.54,0.0,0.0014037584319630037
55935,1284,1028,310,1,3.54,0.0,0.0015029925290294787
55421,1480,1279,377,1,3.54,0.0,0.0015967700287648685
54798,1714,1580,465,1,3.54,0.0,0.0016854858246898904
54042,2025,1911,579,1,3.54,0.0,0.0017694980193103393
53117,2473,2264,703,1,3.54,0.0,0.0018491321108425316
51977,3007,2730,841,3,3.54,0.0,0.0019246846221823947
50590,3675,3248,1041,4,3.54,0.0,0.0019964262563158808
48910,4465,3931,1248,4,3.54,0.0,0.0020646046483353358
46888,5433,4678,1553,6,3.54,0.0,0.002129446772718498
44496,6471,5718,1866,7,3.54,0.0,0.0021911610550635423
41494,7877,6955,2224,8,3.54,0.0,0.002249939229670274
