susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.006683204661877873
58555,0,3,0,0,3.54,0.0,-0.007116148392325971
58551,4,3,0,0,3.54,0.0,-0.006670790866482229
58551,4,3,0,0,3.54,0.0,-0.00601234580791406
58549,6,3,0,0,3.54,0.0,-0.0053295526606695455
58548,6,4,0,0,3.54,0.0,-0.004681855025111159
58544,9,5,0,0,3.54,0.0,-0.004086478196908739
58540,11,7,0,0,3.54,0.0,-0.0035456161305489507
58533,15,9,1,0,3.54,0.0,-0.0030560842529797154
58528,15,13,2,0,3.54,0.0,-0.0026130099512831906
58520,20,14,4,0,3.54,0.0,-0.0022112843185940314
58504,27,21,6,0,3.54,0.0,-0.0018461171963540385
58484,37,31,6,0,3.54,0.0,-0.0015132200433821603
58461,48,41,8,0,3.54,0.0,-0.0012088337323993559
58421,71,56,10,0,3.54,0.0,-0.0009296945331572215
58372,96,78,12,0,3.54,0.0,-0.0006729790199389629
58304,141,95,18,0,3.54,0.0,-0.00043624553485966386
58223,194,111,30,0,3.54,0.0,-0.00021737944383155294
58109,268,146,35,0,3.54,0.0,-1.4544718664391553e-5
57994,319,202,43,0,3.54,0.0,0.00017385771314947784
57843,384,270,61,0,3.54,0.0,0.0003492252872100282
57617,498,362,81,0,3.54,0.0,0.0005127835397796113
57313,688,448,108,1,3.54,0.0,0.0006656110723630828
56980,847,582,148,1,3.54,0.0,0.000808660500170158
56582,1032,756,187,1,3.54,0.0,0.000942776050163395
56088,1243,991,235,1,3.54,0.0,0.0010687083754767276
55486,1543,1229,299,1,3.54,0.0,0.0011871270602188497
54750,1889,1530,388,1,3.54,0.0,0.0012986312071974677
53866,2313,1886,492,1,3.54,0.0,0.0014037584319630037
52923,2705,2307,619,4,3.54,0.0,0.0015029925290294787
51832,3134,2799,788,5,3.54,0.0,0.0015967700287648685
50521,3654,3396,982,5,3.54,0.0,0.0016854858246898904
49118,4184,4029,1222,5,3.54,0.0,0.0017694980193103393
47339,4938,4791,1483,7,3.54,0.0,0.0018491321108425316
45376,5765,5594,1815,8,3.54,0.0,0.0019246846221823947
43218,6616,6516,2195,13,3.54,0.0,0.0019964262563158808
40810,7495,7613,2623,17,3.54,0.0,0.0020646046483353358
37874,8607,8916,3139,22,3.54,0.0,0.002129446772718498
34690,9802,10319,3722,25,3.54,0.0,0.0021911610550635423
31212,11009,11868,4440,29,3.54,0.0,0.002249939229670274
