susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.006683204661877873
58555,2,1,0,0,3.54,0.0,-0.007116148392325971
58555,1,2,0,0,3.54,0.0,-0.006670790866482229
58553,3,2,0,0,3.54,0.0,-0.00601234580791406
58553,1,3,1,0,3.54,0.0,-0.0053295526606695455
58551,4,3,0,0,3.54,0.0,-0.004681855025111159
58549,5,3,1,0,3.54,0.0,-0.004086478196908739
58544,8,4,2,0,3.54,0.0,-0.0035456161305489507
58541,10,5,2,0,3.54,0.0,-0.0030560842529797154
58538,12,6,2,0,3.54,0.0,-0.0026130099512831906
58533,13,10,2,0,3.54,0.0,-0.0022112843185940314
58530,16,9,3,0,3.54,0.0,-0.0018461171963540385
58527,16,11,4,0,3.54,0.0,-0.0015132200433821603
58522,16,14,6,0,3.54,0.0,-0.0012088337323993559
58511,25,16,6,0,3.54,0.0,-0.0009296945331572215
58498,34,17,9,0,3.54,0.0,-0.0006729790199389629
58484,42,23,9,0,3.54,0.0,-0.00043624553485966386
58460,55,32,11,0,3.54,0.0,-0.00021737944383155294
58426,71,48,13,0,3.54,0.0,-1.4544718664391553e-5
58385,90,68,15,0,3.54,0.0,0.00017385771314947784
58330,122,81,25,0,3.54,0.0,0.0003492252872100282
58264,162,103,29,0,3.54,0.0,0.0005127835397796113
58178,202,140,38,0,3.54,0.0,0.0006656110723630828
58065,264,177,52,0,3.54,0.0,0.000808660500170158
57911,342,235,70,0,3.54,0.0,0.000942776050163395
57727,442,295,94,0,3.54,0.0,0.0010687083754767276
57519,545,383,111,0,3.54,0.0,0.0011871270602188497
57256,690,466,145,1,3.54,0.0,0.0012986312071974677
56985,821,564,186,2,3.54,0.0,0.0014037584319630037
56685,941,687,243,2,4.645234535814977,0.0,0.0015029925290294787
56100,1270,883,303,2,4.645234535814977,0.0,0.0015967700287648685
55337,1685,1142,391,3,4.645234535814977,0.0,0.0016854858246898904
54409,2188,1444,514,3,4.645234535814977,0.0,0.0017694980193103393
53373,2675,1833,673,4,4.645234535814977,0.0,0.0018491321108425316
51995,3360,2342,857,4,4.645234535814977,0.0,0.0019246846221823947
50081,4416,2948,1107,6,4.645234535814977,0.0,0.0019964262563158808
47684,5667,3779,1421,7,4.645234535814977,0.0,0.0020646046483353358
44576,7397,4798,1776,11,4.645234535814977,0.0,0.002129446772718498
40828,9314,6166,2231,19,4.645234535814977,0.0,0.0021911610550635423
