susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
1363,2244,7064,47479,408,3.9663564788459453,0.0,0.0034013950423493226
1410,2575,7098,47063,412,3.9663564788459453,0.0,0.00341006448806372
1429,2850,7260,46604,415,3.9663564788459453,0.0,0.003418404460605896
1471,3231,7414,46023,419,3.9663564788459453,0.0,0.0034264263337106847
1508,3571,7708,45348,423,3.9663564788459453,0.0,0.0034341410100527645
1513,3979,8008,44626,432,3.9663564788459453,0.0,0.0034415589446956467
1535,4383,8308,43898,434,3.9663564788459453,0.0,0.003448690167166263
1527,4952,8721,42917,441,3.9663564788459453,0.0,0.0034555443022481038
1525,5466,9334,41788,445,3.9663564788459453,0.0,0.0034621305895786063
1527,6123,9952,40507,449,3.9663564788459453,0.0,0.0034684579021301578
1484,6965,10741,38917,451,3.9663564788459453,0.0,0.0034745347636479995
1443,7959,11704,36997,455,3.9663564788459453,0.0,0.003480369365112914
1338,9220,12758,34783,459,3.9663564788459453,0.0,0.003485969580291561
1259,10449,14113,32272,465,3.9663564788459453,0.0,0.003491342980432728
1149,11628,15621,29688,472,3.9663564788459453,0.0,0.0034964968481635502
1052,12793,17340,26893,480,3.9663564788459453,0.0,0.0035014381906359505
921,13859,19119,24166,493,3.9663564788459453,0.0,0.003506173751969796
768,14573,21066,21652,499,3.9663564788459453,0.0,0.003510710025036207
630,15018,22993,19411,506,3.9663564788459453,0.0,0.003515053262621277
470,14822,24799,17946,521,3.9663564788459453,0.0,0.0035192094880077468
370,14191,26487,16974,536,3.9663564788459453,0.0,0.0035231845050095766
284,13301,27753,16663,557,3.9663564788459453,0.0,0.00352698390749197
236,12075,28747,16927,573,3.9663564788459453,0.0,0.0035306130884072374
193,10662,29410,17710,583,3.9663564788459453,0.0,0.003534077248374868
152,9335,29553,18925,593,3.9663564788459453,0.0,0.003537381403832205
147,7959,29517,20330,605,3.9663564788459453,0.0,0.003540530394780545
159,6783,29214,21784,618,3.9663564788459453,0.0,0.003543528892149682
168,5674,28790,23291,635,3.9663564788459453,0.0,0.0035463814048025876
168,4791,28043,24903,653,3.9663564788459453,0.0,0.0035490922862004095
189,4068,27112,26516,673,3.9663564788459453,0.0,0.0035516657407467732
230,3416,26142,28079,691,3.9663564788459453,0.0,0.0035541058298290745
247,2925,25059,29626,701,3.9663564788459453,0.0,0.00355641647757349
271,2536,24043,30997,711,3.9663564788459453,0.0,0.0035586014763292146
280,2257,22948,32355,718,3.9663564788459453,0.0,0.003560664491896613
304,1998,21897,33626,733,3.9663564788459453,0.0,0.0035626090685130568
321,1767,20812,34917,741,3.9663564788459453,0.0,0.003564438633609275
363,1565,19751,36133,746,3.9663564788459453,0.0,0.0035661565023484463
396,1410,18829,37170,753,3.9663564788459453,0.0,0.003567765881959366
409,1305,17877,38206,761,3.9663564788459453,0.0,0.0035692698758744193
458,1224,16923,39185,768,3.9663564788459453,0.0,0.0035706714876825424
480,1184,16064,40054,776,3.9663564788459453,0.0,0.0035719736249065588
521,1105,15291,40856,785,3.9663564788459453,0.0,0.0035731791026138993
550,1077,14484,41654,793,3.9663564788459453,0.0,0.003574290646869193
595,1026,13746,42386,805,3.9663564788459453,0.0,0.0035753108980365656
644,977,13052,43071,814,3.9663564788459453,0.0,0.0035762424139392643
672,959,12372,43733,822,3.9663564788459453,0.0,0.0035770876728835875
684,964,11717,44362,831,3.9663564788459453,0.0,0.003577849076553917
715,918,11193,44898,834,3.9663564788459453,0.0,0.0035785289527850107
748,886,10637,45446,841,3.9663564788459453,0.0,0.0035791295582176625
792,873,10153,45896,844,3.9663564788459453,0.0,0.003579653080843262
831,856,9672,46350,849,3.9663564788459453,0.0,0.003580101642442627
900,829,9252,46726,851,4.41717746311806,0.0,0.003580477300924137
950,860,8806,47085,857,4.41717746311806,0.0,0.003580782052565925
980,913,8375,47424,866,4.41717746311806,0.0,0.003581017834166647
994,926,8015,47753,870,4.41717746311806,0.0,0.003581186525109084
1011,965,7642,48064,876,4.41717746311806,0.0,0.0035812899493406583
1016,996,7286,48380,880,4.452153990756906,0.0,0.003581329877274663
1025,939,6986,48722,886,4.452153990756906,0.0,0.0035813080276158225
1019,859,6729,49063,888,3.3472236129439965,0.0,0.003581226069113732
1091,672,6488,49411,896,3.3472236129439965,0.0,0.0035810856222472675
1150,529,6248,49732,899,3.3472236129439965,0.0,0.0035808882608432705
1228,440,6010,49976,904,5.05192850869485,0.0,0.0035806355136322873
1182,617,5729,50121,909,5.05192850869485,0.0,0.003580328865744229
