susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
71708,0,1,0,0,1.7,0.0,-0.0020944206770900087
71708,0,1,0,0,1.7,0.0,-0.004510358484089694
71708,0,1,0,0,1.7,0.0,-0.003667968378371017
71708,0,1,0,0,1.7,0.0,-0.001968232878084225
71708,0,1,0,0,1.7,0.0,-0.00014125617038427963
71708,0,1,0,0,1.7,0.0,-0.0012617454516060695
71708,0,1,0,0,1.7,0.0,-0.004792422967675988
71708,0,1,0,0,1.7,0.0,-0.006430313009497565
71708,0,1,0,0,1.7,0.0,-0.006912770969353149
71708,0,1,0,0,1.7,0.0,-0.006109376831469127
71708,0,1,0,0,1.7,0.0,-0.008303732555702778
71708,0,1,0,0,1.7,0.0,-0.01092396479736597
71708,0,1,0,0,1.7,0.0,-0.013889249391181626
71708,0,1,0,0,1.7,0.0,-0.014637610660183051
71708,0,1,0,0,1.7,0.0,-0.017302880721269506
71708,0,1,0,0,1.7,0.0,-0.020127380681214124
71708,0,1,0,0,1.7,0.0,-0.02468498523163381
71708,0,0,1,0,1.7,0.0,-0.0266406953755464
71708,0,0,1,0,1.7,0.0,-0.02897535688615523
71708,0,0,1,0,1.7,0.0,-0.02917064898349609
71708,0,0,1,0,1.7,0.0,-0.02867372158222097
71708,0,0,1,0,1.7,0.0,-0.027781060989479356
71708,0,0,1,0,1.7,0.0,-0.02491761871502286
71708,0,0,1,0,1.7,0.0,-0.023902857169346335
71708,0,0,1,0,1.7,0.0,-0.024701809044023852
71708,0,0,1,0,1.7,0.0,-0.025448815594503717
71708,0,0,1,0,1.7,0.0,-0.023845083875423684
71708,0,0,1,0,1.7,0.0,-0.022714363434854824
71708,0,0,1,0,1.7,0.0,-0.022252094713479182
71708,0,0,1,0,1.7,0.0,-0.02410221857768393
71708,0,0,1,0,1.7,0.0,-0.025750298098806496
71708,0,0,1,0,1.7,0.0,-0.026949825565581554
71708,0,0,1,0,1.7,0.0,-0.028935135709629987
71708,0,0,1,0,1.7,0.0,-0.02963985785796832
71708,0,0,1,0,1.7,0.0,-0.0282507141344163
71708,0,0,1,0,1.7,0.0,-0.028304229787197672
71708,0,0,1,0,1.7,0.0,-0.029777445654517964
71708,0,0,1,0,1.7,0.0,-0.03172286248035269
71708,0,0,1,0,1.7,0.0,-0.033330653608050646
71708,0,0,1,0,1.7,0.0,-0.03457202483783467
71708,0,0,1,0,1.7,0.0,-0.034066877644869833
71708,0,0,1,0,1.7,0.0,-0.03460109307920501
71708,0,0,1,0,1.7,0.0,-0.03759716107807132
71708,0,0,1,0,1.7,0.0,-0.04039189897553884
71708,0,0,1,0,1.7,0.0,-0.04496019798732391
71708,0,0,1,0,1.7,0.0,-0.04986950223328568
71708,0,0,1,0,1.7,0.0,-0.05258651293898757
71708,0,0,1,0,1.7,0.0,-0.0537248632994061
71708,0,0,1,0,1.7,0.0,-0.05402734379818981
71708,0,0,1,0,1.7,0.0,-0.05583935722846116
71708,0,0,1,0,1.7,0.0,-0.058145693463511464
71708,0,0,1,0,1.7,0.0,-0.05731268100106411
71708,0,0,1,0,1.7,0.0,-0.05692579898845627
71708,0,0,1,0,1.7,0.0,-0.057875836240283675
71708,0,0,1,0,1.7,0.0,-0.05910296982236165
71708,0,0,1,0,1.7,0.0,-0.05700604753797556
71708,0,0,1,0,1.7,0.0,-0.05798919963289488
71708,0,0,1,0,1.7,0.0,-0.0587417332251311
71708,0,0,1,0,1.7,0.0,-0.06030413849823041
71708,0,0,1,0,1.7,0.0,-0.060019921464402895
71708,0,0,1,0,1.7,0.0,-0.06001937227843366
71708,0,0,1,0,1.7,0.0,-0.06308613246271069
71708,0,0,1,0,1.7,0.0,-0.06657418445150039
71708,0,0,1,0,1.7,0.0,-0.07385873663004361
71708,0,0,1,0,1.7,0.0,-0.07930593306656056
71708,0,0,1,0,1.7,0.0,-0.08097321170917185
71708,0,0,1,0,1.7,0.0,-0.08202245821269201
71708,0,0,1,0,1.7,0.0,-0.08312793799803707
71708,0,0,1,0,1.7,0.0,-0.08347061539398257
71708,0,0,1,0,1.7,0.0,-0.08370035332904521
71708,0,0,1,0,1.7,0.0,-0.08317469797951463
71708,0,0,1,0,1.7,0.0,-0.08174802750027192
71708,0,0,1,0,1.7,0.0,-0.07975018581856452
71708,0,0,1,0,1.7,0.0,-0.0793111210586129
71708,0,0,1,0,1.7,0.0,-0.07737731802229586
71708,0,0,1,0,1.7,0.0,-0.07729211476010332
71708,0,0,1,0,1.7,0.0,-0.07493908983478473
71708,0,0,1,0,1.7,0.0,-0.07085898491014866
71708,0,0,1,0,1.7,0.0,-0.06691557642174886
71708,0,0,1,0,1.7,0.0,-0.0637015321973464
71708,0,0,1,0,1.7,0.0,-0.06143608523279039
71708,0,0,1,0,1.7,0.0,-0.05801194361813513
71708,0,0,1,0,1.7,0.0,-0.055488819452647296
71708,0,0,1,0,1.7,0.0,-0.05197386223550073
71708,0,0,1,0,1.7,0.0,-0.048762430394072756
71708,0,0,1,0,1.7,0.0,-0.04579948623377528
71708,0,0,1,0,1.7,0.0,-0.04219079128920917
71708,0,0,1,0,1.7,0.0,-0.03944043935842413
71708,0,0,1,0,1.7,0.0,-0.0372800402805436
71708,0,0,1,0,1.7,0.0,-0.03648917171380974
71708,0,0,1,0,1.7,0.0,-0.03503862037547826
71708,0,0,1,0,1.7,0.0,-0.03470180155002694
71708,0,0,1,0,1.7,0.0,-0.03208748647495634
71708,0,0,1,0,1.7,0.0,-0.02873259026670396
71708,0,0,1,0,1.7,0.0,-0.025732562699623707
71708,0,0,1,0,1.7,0.0,-0.022084015515191586
71708,0,0,1,0,1.7,0.0,-0.018445165494625618
71708,0,0,1,0,1.7,0.0,-0.0161946391527198
71708,0,0,1,0,1.7,0.0,-0.01421183716231011
71708,0,0,1,0,1.7,0.0,-0.01289531250443661
71708,0,0,1,0,1.7,0.0,-0.011741314563315836
71708,0,0,1,0,1.7,0.0,-0.011773984923830371
71708,0,0,1,0,1.7,0.0,-0.01116749200239454
71708,0,0,1,0,1.7,0.0,-0.009357686985569455
71708,0,0,1,0,1.7,0.0,-0.0054389470813677706
71708,0,0,1,0,1.7,0.0,5.1222172426043656e-5
71708,0,0,1,0,1.7,0.0,0.00468605335282995
71708,0,0,1,0,1.7,0.0,0.01067348268287201
71708,0,0,1,0,1.7,0.0,0.015698187058487623
71708,0,0,1,0,1.7,0.0,0.020469032295327816
