susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.03045859926012101
58555,1,1,1,0,3.54,0.0,-0.0015752111914193567
58554,1,1,2,0,3.54,0.0,0.043219472927970085
58553,1,1,3,0,3.54,0.0,0.06117158551640185
58553,1,2,2,0,3.539879432660051,4.72813097839383e-5,0.07225354204797678
58552,2,1,3,0,3.539758928349086,4.725882699448498e-5,0.0933131923205653
58552,2,1,3,0,3.5396384297330137,4.725882699448498e-5,0.1
58552,2,0,4,0,3.5395179368115643,4.725882699448498e-5,0.1
58552,2,0,4,0,3.5393974495844693,4.725882699448498e-5,0.1
58552,1,1,4,0,3.539276968051459,4.725882699448498e-5,0.1
58551,2,0,5,0,3.539156492212265,4.725882699448498e-5,0.1
58551,1,1,5,0,3.5390360220666177,4.725882699448498e-5,0.1
58550,2,1,5,0,3.5389155576142484,4.725882699448498e-5,0.1
58549,3,1,5,0,3.5387950988548873,4.725882699448498e-5,0.1
58547,5,1,5,0,3.5386746457882663,4.725882699448498e-5,0.1
58547,5,1,5,0,3.538554198414116,4.725882699448498e-5,0.1
58545,6,2,5,0,3.5383264040112117,8.93818161865852e-5,0.1
58543,7,3,5,0,3.538044958453814,0.00011044329209744764,0.1
58542,7,4,5,0,3.5377096974531987,0.00013157577910967547,0.1
58540,5,7,6,0,3.5373221294160953,0.00015212409698446403,0.1
58536,8,7,7,0,3.536880228044986,0.00017347683122063281,0.1
58534,8,8,8,0,3.5362612401297495,0.0002430377009568161,0.1
58526,15,8,9,0,3.535641390386891,0.00024343525051147313,0.1
58519,18,9,12,0,3.5349666532846467,0.0002650558341768099,0.1
58510,22,13,13,0,3.5340599685449705,0.0003562658624646043,0.1
58496,31,16,15,0,3.533047899449073,0.00039781652492901584,0.1
58482,36,24,16,0,3.531582134542613,0.0005763811632401113,0.1
58463,49,29,17,0,3.529756916711308,0.0007181423753725108,0.1
58439,60,39,20,0,3.52719320152586,0.0010094332920521185,0.1
58401,84,52,21,0,3.5240270082302825,0.0012479117844369234,0.1
58360,101,71,26,0,3.5195121541667227,0.001781691374596967,0.1
58299,135,92,32,0,3.5137487111402126,0.0022784800685840788,0.1
58214,185,118,41,0,3.506441471575475,0.00289539110311682,0.1
58103,240,157,58,0,3.4968112410218657,0.0038269241158148974,0.1
57990,303,194,71,0,3.4855354476198697,0.004498062405927072,0.1
57811,417,241,89,0,3.47104659812656,0.005805908109671814,0.1
57631,497,310,120,0,3.451271109229781,0.007970623732626188,0.1
57405,575,423,154,1,3.4253133420030415,0.010546488409748084,0.1
57125,723,520,189,1,3.394598260046248,0.012612373704457456,0.1
56778,892,658,229,1,3.3567951082569882,0.01572119235773405,0.1
56406,1041,808,300,3,3.3109128789383084,0.01938580536972193,0.1
55972,1229,984,370,3,3.2572778006421115,0.02310947506169734,0.1
55467,1456,1179,452,4,3.1952731240372976,0.027347630972814056,0.1
54928,1648,1428,548,6,3.122584061144833,0.03296147860333472,0.1
54304,1898,1657,692,7,3.042510723314824,0.03754756461371253,0.1
53647,2111,1952,841,7,2.9525133376359594,0.04384746187026893,0.1
52912,2365,2283,987,11,2.851783838404148,0.05132678453699067,0.1
52136,2579,2650,1182,11,2.7431586967899073,0.05834465815717381,0.1
51269,2830,2986,1460,13,2.6280735878438715,0.06564443319179306,0.1
50357,3117,3373,1694,17,2.50693743822988,0.07395037104129001,0.1
49495,3290,3756,1997,20,2.3851154924368934,0.08030782464907796,0.1
48523,3552,4170,2292,21,2.273514952678765,0.07999376421746454,0.1
47473,3829,4638,2597,21,2.151020243448076,0.09543691639511934,0.1
46485,3939,5101,3007,26,2.038932919809193,0.09654209241520081,0.1
45528,4019,5574,3407,30,1.9217119153988835,0.11175262230461072,0.1
44610,4035,6017,3864,32,1.8180096111508968,0.11130297094417843,0.1
43743,4018,6452,4312,33,1.7148444945512595,0.12459410520155945,0.1
42880,4030,6787,4824,37,1.6243437858821492,0.12485534393847877,0.1
42059,3927,7146,5385,41,1.5380052519198106,0.13610684913114104,0.1
41347,3782,7472,5911,46,1.463313770007977,0.13629701841390948,0.1
40617,3680,7703,6499,59,1.3983577168867418,0.1372367702721608,0.1
40024,3493,7938,7039,64,1.3404118187935052,0.1418998483364229,0.1
39427,3329,8043,7691,68,1.2920008831094463,0.1381544031555259,0.1
38911,3158,8107,8308,74,1.2492450632787837,0.14157514835864765,0.1
38400,3032,8223,8824,79,1.2116025759697442,0.14520040163140935,0.1
37904,2891,8265,9416,82,1.1809290875062746,0.13841666022716922,0.1
37458,2771,8239,10004,86,1.1539295139678956,0.1414115255617699,0.1
37038,2632,8206,10594,88,1.1313706969659274,0.13761290725467554,0.1
36589,2522,8128,11224,95,1.1121909265832317,0.13567005606061538,0.1
36234,2386,8040,11797,101,1.0956134059537679,0.13566899845195904,0.1
35872,2281,7957,12346,102,1.0815085097950332,0.133552137925644,0.1
35530,2146,7826,12947,109,1.0695840105647776,0.13031027668317202,0.1
35215,2027,7714,13489,113,1.0592748959004128,0.12953751125640448,0.1
34936,1941,7516,14051,114,1.050559757444621,0.12580514690805739,0.1
34676,1844,7386,14533,119,1.0430411055687667,0.12415260881336683,0.1
34384,1785,7252,15017,120,1.0367352754919856,0.11888572097362571,0.1
34126,1694,7088,15528,122,1.031196817914471,0.11850700609359503,0.1
33823,1692,6910,16006,127,1.0265562964378485,0.11264271639272505,0.1
33590,1595,6752,16489,132,1.0225051987835114,0.11081805459217123,0.1
33402,1515,6581,16923,137,1.019022127887964,0.1071542714980753,0.1
33206,1436,6423,17353,140,1.0159475243865101,0.10593997495025256,0.1
