susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,0.0,0,3.54,0.0
58557,0,1,0,0.10000717242675891,0,3.5399999711982675,1.1294797142054889e-8
58557,0,1,0,0.20000237387498926,0,3.5399999422315616,1.1359492730492626e-8
58557,0,0,1,0.30005300622397113,0,3.5399999132648556,1.1359492730492626e-8
58557,0,0,1,0.39997682309735166,0,3.53999988429815,1.1359492730492626e-8
58557,0,0,1,0.4998968556006671,0,3.539999855331445,1.1359492730492626e-8
58557,0,0,1,0.599888246266519,0,3.53999982636474,1.1359492730492626e-8
58557,0,0,1,0.6997954494417641,0,3.5399997973980355,1.1359492730492626e-8
58557,0,0,1,0.7998599896595507,0,3.5399997684313314,1.1359492730492626e-8
58557,0,0,1,0.8998161682664186,0,3.5399997394646276,1.1359492730492626e-8
58557,0,0,1,0.9873551337218456,0,3.539999710497924,1.1359492730492626e-8
58557,0,0,1,0.9999868120585227,0,3.5399996815312207,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999652564518,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399996235978155,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999594631113,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999565664411,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399995366977097,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399995077310087,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399994787643076,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999449797607,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999420830907,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.539999391864207,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399993628975075,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399993339308082,1.1359492730492626e-8
58557,0,0,1,1.0,0,3.5399993049641094,1.1359492730492626e-8
58556,0,1,1,1.0,0,4.736138498711061,1.1359492730492626e-8
58554,2,1,1,1.0,0,4.736138385049129,3.0341091968191606e-8
58551,5,1,1,1.0,0,4.736138270680983,3.0529610657390057e-8
58549,6,2,1,1.0,0,4.736137942993999,8.747327522394209e-8
58548,7,2,1,1.0,0,4.736137617753769,8.682014226557956e-8
58547,7,2,2,1.0,0,4.736137297651641,8.544857670417175e-8
