susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
71708,0,1,0,0,1.8,0.0,-0.0020944206770900087
71708,0,1,0,0,1.8,0.0,-0.005579858106408963
71708,0,1,0,0,1.8,0.0,-0.00391215618702479
71708,0,1,0,0,1.8,0.0,-0.002204003374197183
71708,0,1,0,0,1.8,0.0,-0.0013713428802261008
71708,0,1,0,0,1.8,0.0,-0.001821368428549902
71708,0,1,0,0,1.8,0.0,-0.005845260973523392
71706,2,1,0,0,1.8,0.0,-0.00838120031649391
71706,2,1,0,0,1.8,0.0,-0.008273683258741088
71706,2,1,0,0,1.8,0.0,-0.00789577197385984
71706,1,2,0,0,1.8,0.0,-0.005426599128340165
71706,1,2,0,0,1.8,0.0,-0.0023642447515471567
71705,1,3,0,0,1.8,0.0,0.0009112321032364035
71705,1,3,0,0,1.8,0.0,0.004912503199469906
71702,4,3,0,0,1.8,0.0,0.011167545272054432
71701,4,4,0,0,1.8,0.0,0.016451503099579618
71699,4,6,0,0,1.8,0.0,0.02167163949148331
71696,6,7,0,0,1.8,0.0,0.026905311284644313
71692,6,11,0,0,1.8,0.0,0.028675589286938242
71687,9,13,0,0,1.8,0.0,0.028511729884852732
71683,9,16,1,0,1.8,0.0,0.028737199433160488
71676,16,12,5,0,1.8,0.0,0.02788075845392799
71675,11,18,5,0,1.8,0.0,0.025139900018024637
71670,13,21,5,0,1.8,0.0,0.02273095065447952
71667,13,23,6,0,1.8,0.0,0.020148187143523462
71664,15,23,7,0,1.8,0.0,0.01847817200695096
71659,17,24,9,0,1.8,0.0,0.02002725500620644
71656,16,26,11,0,1.8,0.0,0.01915953437948726
71651,19,25,14,0,1.8,0.0,0.017358956207786706
71646,20,29,14,0,1.8,0.0,0.018540904250059647
71643,20,32,14,0,1.8,0.0,0.021587487483467383
71639,20,35,15,0,1.8,0.0,0.022728858998551517
71630,25,38,16,0,1.8,0.0,0.022383980243154387
71622,29,39,19,0,1.8,0.0,0.022329342226815315
71614,36,40,19,0,1.8,0.0,0.02169447195481099
71607,32,49,21,0,1.8,0.0,0.018788403666945345
71597,35,52,25,0,1.8,0.0,0.018626191483288968
71587,39,57,26,0,1.8,0.0,0.019904915423990387
71573,49,55,32,0,1.8,0.0,0.0228220636971809
71555,55,62,37,0,1.8,0.0,0.025489742384779284
71545,53,72,39,0,1.8,0.0,0.027696145003254836
71524,62,81,42,0,1.8,0.0,0.02785499137247523
71506,67,87,49,0,1.8,0.0,0.028150474653274395
71488,71,98,52,0,1.8,0.0,0.028320766863155267
71471,73,105,60,0,1.8,0.0,0.024486950334411426
71448,82,105,74,0,1.8,0.0,0.02030512881364446
