susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,0.0,0,3.54,0.01
58555,2,1,0,0.0002100338034922569,0,3.5141,0.01
58553,4,1,0,0.00040710258014693896,0,3.488459,0.01
58552,4,2,0,0.0005241174557122913,0,3.4630744100000004,0.01
58548,5,4,1,0.0007078138391232172,0,3.4379436659000002,0.01
58546,5,4,3,0.0008423939493397807,0,3.4130642292410003,0.01
58543,8,4,3,0.0010028661710473562,0,3.38843358694859,0.01
58541,9,5,3,0.0011980193687463625,0,3.3640492510791042,0.01
58538,9,6,5,0.0013536216179235194,0,3.3399087585683134,0.4097968936678614
58531,11,11,5,-0.038601218713731816,0,2.3605315731574037,0.4097968936678614
58525,15,12,6,-0.07851370133395776,0,1.782500116057058,0.4097968936678614
58524,13,14,7,-0.11833705836061888,0,1.4413441545187415,0.4097968936678614
58523,10,16,9,-0.15808056433074752,0,1.2399928462750995,0.4097968936678614
58521,11,16,10,-0.19788086846705502,0,1.121154678685662,0.4097968936678614
58519,11,14,14,-0.2377143259955674,0,1.0510160230235568,0.4097968936678614
58519,8,16,15,-0.27758222856665987,0,1.009619970577822,0.524915922765385
58519,6,17,16,-0.3288460247524526,0,0.9783244987067194,0.524915922765385
58518,5,15,20,-0.38020860049902255,0,0.9634565183312148,0.524915922765385
58517,6,15,20,-0.4316752786462404,0,0.9563929775941759,0.524915922765385
58517,4,15,22,-0.4829164903756949,0,0.9530372018611106,0.524915922765385
58517,4,15,22,-0.5339664158205079,0,0.951442926243561,0.524915922765385
58514,7,15,22,-0.5853702286726304,0,0.9506855112829398,0.524915922765385
58514,4,17,23,-0.6366772296643086,0,0.9503256754952893,0.900262467191601
58513,3,18,24,-0.7254126720557881,0,0.9500324820703963,0.900262467191601
58511,5,17,25,-0.8113087496406678,0,0.9500032396815618,0.900262467191601
58511,4,15,28,-0.8861267722405451,0,0.950000323117846,0.900262467191601
58511,3,16,28,-0.9401880861269531,0,0.9500000322269767,0.900262467191601
58511,2,14,31,-0.9718191213819299,0,0.950000003214239,0.900262467191601
58509,4,14,31,-0.9875165120179773,0,0.9500000003205802,0.900262467191601
58509,4,14,31,-0.9943224147204671,0,0.9500000000319738,0.473756906077348
58509,3,15,31,-0.9957815000090615,0,0.9500000000168259,0.473756906077348
58508,4,14,32,-0.9966661330052629,0,0.9500000000088545,0.473756906077348
58507,5,13,33,-0.9971421927938092,0,0.9500000000046597,0.473756906077348
58506,5,14,33,-0.9974756308235525,0,0.9500000000024521,0.473756906077348
58505,6,13,34,-0.9975900382087612,0,0.9500000000012904,0.473756906077348
58502,7,14,35,-0.9975683423321912,0,0.9500000000006791,0.473756906077348
58502,6,15,35,-0.9976325468998661,0,0.9500000000003573,0.24931130002136684
58502,5,16,35,-0.9973071795337456,0,0.9500000000002682,0.24931130002136684
58501,2,19,36,-0.9970258151010676,0,0.9500000000002014,0.24931130002136684
58500,3,19,36,-0.9969226052694886,0,0.9500000000001512,0.24931130002136684
58497,6,19,36,-0.9968556503888444,0,0.9500000000001134,0.24931130002136684
58494,9,18,37,-0.9967237521299527,0,0.9500000000000851,0.24931130002136684
58493,8,20,37,-0.996669503158195,0,0.9500000000000639,0.24931130002136684
58487,7,23,41,-0.9966684789457985,0,5.041206372971594,0.3618143459915612
58439,46,27,46,-0.9970634719755017,0,3.5609492148183692,0.3618143459915612
58412,61,36,49,-0.9973259452062667,0,2.616270332241681,0.3618143459915612
58394,58,56,50,-0.9973420680659685,0,2.013389821736516,0.3618143459915612
58369,62,70,57,-0.9974618262436329,0,1.6286401288508354,0.3618143459915612
58358,56,80,64,-0.9974360591902601,0,1.3830983944670416,0.3618143459915612
58345,52,89,72,-0.9974039350014395,0,1.2263971821229538,0.3618143459915612
58333,50,98,77,-0.9974290088010485,0,1.126392716439227,0.36209157049380647
58325,46,104,83,-0.9973921369549946,0,1.0625224007200784,0.36209157049380647
58318,36,111,93,-0.9972757246162054,0,1.0217789879276118,0.36209157049380647
58311,29,117,101,-0.9972882406079663,0,0.9957884214604469,0.36209157049380647
58303,27,118,110,-0.9972901388737396,0,0.9792088200234014,0.36209157049380647
58289,32,121,116,-0.9973924120078198,0,0.968632552508857,0.36209157049380647
58284,30,118,126,-0.9974282019986933,0,0.9618858623086167,0.36209157049380647
58274,28,120,136,-0.997396902753223,0,0.9575820917586165,0.3646842017705135
58267,28,118,145,-0.9973201505950111,0,0.9548170226778746,0.3646842017705135
58261,28,114,155,-0.9974078143057006,0,0.9530603306076835,0.3646842017705135
58246,33,115,164,-0.9974810852003414,0,0.9519442763828665,0.3646842017705135
58241,28,116,173,-0.9974606303743908,0,0.9512352295021596,0.3646842017705135
58233,26,116,183,-0.9974666587340046,0,0.9507847608171611,0.3646842017705135
58225,29,114,190,-0.9974623856115802,0,0.9504985709449739,0.3646842017705135
58216,28,115,199,-0.9975031158332904,0,0.9503167499978801,0.23922113135197173
58211,29,113,205,-0.9971831057428132,0,0.9502409767050315,0.23922113135197173
58200,32,116,210,-0.9968872501987694,0,0.9501833299850244,0.23922113135197173
58195,25,118,220,-0.9967786786337283,0,0.9501394735785961,0.23922113135197173
58188,27,113,230,-0.9966698356475704,0,0.9501061085513306,0.23922113135197173
58185,25,111,237,-0.9966275194536651,0,0.9500807251436352,0.23922113135197173
58178,22,112,246,-0.9965795414868016,0,4.482951853912044,0.23922113135197173
58022,156,123,257,-0.9965807707369201,0,3.637795114407159,0.1696848194420342
57898,227,166,267,-0.996235730833331,0,3.1817170857217985,0.1696848194420342
