susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.005903082633641693
58554,2,1,1,0,3.54,0.0,-0.0054016067773777375
58551,3,3,1,0,3.54,0.0,-0.0033900849407789146
58550,4,3,1,0,3.54,0.0,-0.003635946534380313
58548,6,3,1,0,3.54,0.0,-0.0031117160630905307
58545,7,5,1,0,3.54,0.0,-0.004020936467917372
58542,8,7,1,0,3.54,0.0,-0.00509276281865236
58533,13,10,2,0,3.54,0.0,-0.006080052510185738
58524,20,11,3,0,3.54,0.0,-0.0071310955785594985
58511,27,17,3,0,3.54,0.0,-0.009466136082759837
58497,32,25,4,0,3.54,0.0,-0.01509702371100995
58472,50,29,7,0,3.54,0.0,-0.020603568675767826
58447,66,33,12,0,3.54,0.0,-0.023829087608098733
58419,75,49,15,0,3.54,0.0,-0.027272186215044857
58371,103,65,19,0,3.54,0.0,-0.03128356483493796
58319,124,87,28,0,3.54,0.0,-0.03466143017457464
58251,163,113,31,0,3.54,0.0,-0.03825950846108025
58166,199,151,41,1,3.54,0.0,-0.0412342073523098
58054,267,181,55,1,3.54,0.0,-0.04329491580638441
57943,321,225,68,1,3.54,0.0,-0.04756293569398138
57804,367,297,89,1,3.54,0.0,-0.05161275947602517
57601,474,368,114,1,3.54,0.0,-0.05607948551957679
57390,581,446,140,1,3.54,0.0,-0.0621614814257934
57133,715,536,173,1,3.54,0.0,-0.06890001551859344
56854,837,657,209,1,3.54,0.0,-0.07470147496873827
56521,990,801,245,1,3.54,0.0,-0.08048239965764602
56115,1159,987,296,1,3.54,0.0,-0.08761620465062525
55682,1306,1216,353,1,3.54,0.0,-0.09522453452057411
55130,1531,1456,440,1,3.54,0.0,-0.10588811681981507
54481,1851,1683,542,1,3.54,0.0,-0.11958980093664766
53746,2189,1962,657,4,3.54,0.0,-0.13541500510983226
52829,2575,2374,774,6,3.54,0.0,-0.15679834157476097
51594,3164,2837,956,7,3.54,0.0,-0.18488551775083836
50182,3840,3377,1151,8,3.54,0.0,-0.21904524401969128
48408,4684,4067,1391,8,3.54,0.0,-0.25888884621129227
46265,5657,4952,1675,9,3.54,0.0,-0.306608531539994
43671,6907,5962,2005,13,3.54,0.0,-0.3619289483419462
40659,8166,7319,2399,15,3.54,0.0,-0.4232247442807984
37197,9658,8765,2917,21,3.54,0.0,-0.48556786720128187
33296,11216,10508,3515,23,3.54,0.0,-0.5495223830661013
29174,12707,12403,4245,29,3.54,0.0,-0.6087200805703386
25079,13893,14470,5085,31,3.54,0.0,-0.6655509643076043
20754,14963,16665,6139,37,3.54,0.0,-0.7158727273787688
16716,15622,18857,7315,48,3.54,0.0,-0.7583819092764037
13045,15853,20986,8615,59,3.54,0.0,-0.7904369999882486
9881,15549,23020,10036,72,3.54,0.0,-0.8131250927461637
7208,14866,24750,11651,83,3.54,0.0,-0.8266049468820112
5083,13920,26121,13337,97,3.54,0.0,-0.8333029331624016
3493,12549,27254,15148,114,3.54,0.0,-0.836123996053528
2357,11111,27875,17087,128,3.54,0.0,-0.8344513929321067
1565,9645,28198,19008,142,3.54,0.0,-0.8309510830050671
1070,8268,28072,20995,153,3.54,0.0,-0.8236580771353067
