susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
864,612,9562,47170,1,350,3.54,0.0,0.6095131433629282,1
916,621,9018,47651,1,352,3.54,0.0,0.6062254400292469,1
985,595,8487,48135,1,356,3.54,0.0,0.6097629805168698,1
1056,573,7978,48591,1,360,3.54,0.0,0.6113372420321959,1
1089,591,7543,48973,1,362,3.54,0.0,0.6100992416055944,1
1115,589,7177,49313,1,364,3.54,0.0,0.6120527659686883,1
1173,595,6753,49669,1,368,3.54,0.0,0.61221411575237,1
1232,584,6382,49990,1,370,3.54,0.0,0.6138801406616786,1
1272,592,6032,50290,1,372,3.54,0.0,0.6127932279547427,1
1342,581,5729,50531,1,375,3.54,0.0,0.6135943177461345,1
1400,557,5445,50774,1,382,3.54,0.0,0.6120455255162451,1
1449,556,5179,50987,1,387,3.54,0.0,0.6126456538009016,1
1515,538,4949,51165,1,391,3.54,0.0,0.6151556502567649,1
1581,558,4714,51312,1,393,3.54,0.0,0.6144382274235742,1
1644,555,4492,51473,1,394,3.54,0.0,0.6123903275188635,1
1702,544,4280,51637,1,395,3.54,0.0,0.6130908730626021,1
1773,540,4089,51761,1,395,3.54,0.0,0.6100847616976626,1
1824,559,3923,51857,1,395,3.54,0.0,0.6110319075489978,1
1884,555,3715,52006,1,398,3.54,0.0,0.6126637004336468,1
1977,561,3556,52064,1,400,3.54,0.0,0.6112477251313727,1
2057,532,3398,52168,1,403,3.54,0.0,0.6108622316414168,1
2155,525,3294,52179,1,405,3.54,0.0,0.608847783082049,1
2228,534,3177,52213,1,406,3.54,0.0,0.6094287681868603,1
2313,526,3079,52231,1,409,3.54,0.0,0.6116201657021324,1
2365,538,2941,52301,1,413,3.54,0.0,0.6117773908604438,1
2418,559,2841,52325,1,415,3.54,0.0,0.6119290953815889,1
2493,558,2743,52347,1,417,3.54,0.0,0.6095269637649202,1
2608,522,2632,52379,1,417,3.54,0.0,0.6079355222152218,1
2700,520,2524,52396,1,418,3.54,0.0,0.6111141373905025,1
2796,507,2440,52397,1,418,3.54,0.0,0.6102802803986141,1
2898,497,2397,52344,1,422,3.54,0.0,0.6121254241659345,1
2972,487,2342,52335,1,422,3.54,0.0,0.6122458718204113,1
3033,484,2301,52317,1,423,3.54,0.0,0.6098915796186898,1
3130,470,2251,52282,1,425,3.54,0.0,0.6123723648774676,1
3195,468,2198,52272,1,425,3.54,0.0,0.61385301816384,1
3265,477,2137,52252,1,427,3.54,0.0,0.61147784482097,1
3316,474,2106,52235,1,427,3.54,0.0,0.6105040325678498,1
3392,472,2052,52215,1,427,3.54,0.0,0.611573268057516,1
3477,470,2018,52166,1,427,3.54,0.0,0.613495705514594,1
3568,480,1959,52121,1,430,3.54,0.0,0.6128855004252782,1
3655,477,1927,52068,1,431,3.54,0.0,0.6126940334451755,1
3713,485,1890,52039,1,431,3.54,0.0,0.612133304848088,1
3773,501,1841,52012,1,431,3.54,0.0,0.6113346724883201,1
3842,504,1786,51995,1,431,3.54,0.0,0.611550943469618,1
3896,517,1762,51949,1,434,3.54,0.0,0.6119533667140898,1
3987,503,1752,51881,1,435,3.54,0.0,0.6106351555685681,1
4066,504,1735,51817,1,436,3.54,0.0,0.6115638518252295,1
4145,486,1716,51775,1,436,3.54,0.0,0.6116128762923749,1
4195,518,1685,51722,1,438,3.54,0.0,0.6110815188143344,1
4241,524,1694,51658,1,441,3.54,0.0,0.6113298807062467,1
4292,548,1683,51592,1,443,3.54,0.0,0.6130667863286635,1
4358,550,1693,51513,1,444,3.54,0.0,0.6103780267313076,1
4406,532,1686,51490,1,444,3.54,0.0,0.6106891164981966,1
4464,520,1698,51432,1,444,3.54,0.0,0.6122371437084275,1
4516,541,1678,51378,1,445,3.54,0.0,0.6136600241029013,1
4601,557,1669,51285,1,446,3.54,0.0,0.6136215850840251,1
4703,544,1658,51204,1,449,3.54,0.0,0.6118852215776363,1
4751,514,1688,51155,1,450,3.54,0.0,0.6106681950403281,1
4825,516,1700,51066,1,451,3.54,0.0,0.6116871033700555,1
4892,524,1708,50983,1,451,3.54,0.0,0.6113452546589321,1
4948,537,1712,50910,1,451,3.54,0.0,0.6097338022191513,1
5019,523,1739,50826,1,451,3.54,0.0,0.6096926199953364,1
5041,568,1702,50796,1,451,3.54,0.0,0.6102136366103488,1
5090,571,1697,50748,1,452,3.54,0.0,0.6081240559833228,1
5130,571,1713,50692,1,452,3.54,0.0,0.6071985605929762,1
5168,555,1726,50657,1,452,3.54,0.0,0.6057792477683022,1
5215,581,1718,50592,1,452,3.54,0.0,0.6089727682397876,1
5204,610,1747,50544,1,453,3.54,0.0,0.608468441031435,1
5241,610,1762,50491,1,454,3.54,0.0,0.6102640991079664,1
5294,614,1762,50433,1,455,3.54,0.0,0.6120085633456173,1
5318,603,1808,50374,1,455,3.54,0.0,0.6111339931348067,1
5364,596,1826,50314,1,458,3.54,0.0,0.6121570553771885,1
5387,608,1848,50256,1,459,3.54,0.0,0.6121980330040978,1
5417,627,1851,50204,1,459,3.54,0.0,0.6122073318922144,1
5444,654,1829,50172,1,459,3.54,0.0,0.6102364001347337,1
5493,661,1831,50113,1,460,3.54,0.0,0.61092219196141,1
5510,668,1858,50062,1,460,3.54,0.0,0.6088003411461249,1
5545,658,1860,50034,1,461,3.54,0.0,0.609345429092706,1
5584,659,1866,49986,1,463,3.54,0.0,0.6086742004265704,1
5604,688,1866,49936,1,464,3.54,0.0,0.6064326264021267,1
5619,689,1899,49887,1,464,3.54,0.0,0.6090289272074023,1
5623,690,1937,49843,1,465,3.54,0.0,0.6110646183803021,1
5625,688,1948,49832,1,465,3.54,0.0,0.6114666528427862,1
5621,718,1971,49781,1,467,3.54,0.0,0.6116707960185414,1
5626,733,1985,49747,1,467,3.54,0.0,0.6092612922826282,1
5661,752,1988,49690,1,467,3.54,0.0,0.6107511427118277,1
5645,768,2011,49667,1,467,3.54,0.0,0.6127405005204104,1
5654,787,2036,49613,1,468,3.54,0.0,0.610009000584349,1
5668,799,2056,49567,1,468,3.54,0.0,0.6112781459152514,1
5688,795,2098,49508,1,469,3.54,0.0,0.6124974835940429,1
5705,795,2094,49494,1,470,3.54,0.0,0.6129275361600369,1
5712,791,2103,49481,1,471,3.54,0.0,0.6136460701401489,1
5710,790,2121,49466,1,471,3.54,0.0,0.6107592525490342,1
5667,808,2167,49445,1,471,3.54,0.0,0.6130022433225468,1
5668,813,2196,49410,1,471,3.54,0.0,0.6147765472681791,1
5638,840,2196,49412,1,472,3.54,0.0,0.6117232459208439,1
5636,811,2243,49396,1,472,3.54,0.0,0.6115255960727579,1
5596,819,2283,49385,1,475,3.54,0.0,0.6110800179591809,1
5592,807,2321,49363,1,475,3.54,0.0,0.6111313523631994,1
5576,807,2331,49369,1,475,5.00432119179672,0.0,0.6133966703314743,1
5352,832,2510,49387,1,477,5.00432119179672,0.0,0.613684225539809,1
5111,902,2630,49437,1,478,5.00432119179672,0.0,0.6124171814317872,1
4849,972,2816,49441,1,480,5.00432119179672,0.0,0.6111354702023343,1
4588,1016,3029,49443,1,482,5.00432119179672,0.0,0.6106312302933066,1
4315,1016,3277,49466,1,484,5.00432119179672,0.0,0.6103848198637363,1
4101,1021,3447,49503,1,486,5.00432119179672,0.0,0.6104541918711657,1
3830,1032,3640,49569,1,487,5.00432119179672,0.0,0.6097235468489753,1
3576,1068,3802,49624,1,488,5.00432119179672,0.0,0.607056914237837,1
3383,1082,3966,49638,1,489,5.00432119179672,0.0,0.6106572910750534,1
3160,1123,4124,49660,1,491,5.00432119179672,0.0,0.6099411582360725,1
2932,1150,4281,49700,1,495,5.00432119179672,0.0,0.6114883174238008,1
2747,1261,4419,49636,1,495,5.00432119179672,0.0,0.6108408516752561,1
2547,1420,4683,49411,1,497,5.00432119179672,0.0,0.6111298139404994,1
2363,1711,5006,48980,1,498,5.00432119179672,0.0,0.6101520018954548,1
2148,2164,5409,48336,1,501,5.00432119179672,0.0,0.6096692081427749,1
1986,2700,5953,47413,1,506,5.00432119179672,0.0,0.612132232922325,1
1794,3317,6697,46243,1,507,5.00432119179672,0.0,0.6102852435235157,1
1653,3957,7638,44797,1,513,5.00432119179672,0.0,0.6124666648273356,1
1490,4559,8884,43110,1,515,5.00432119179672,0.0,0.6104034849279831,1
1374,5089,10199,41375,1,521,5.00432119179672,0.0,0.6099275007538761,1
1243,5812,11655,39322,1,526,5.00432119179672,0.0,0.6089012953254791,1
1091,6850,13248,36838,1,531,5.00432119179672,0.0,0.6081737609575244,1
940,8027,15372,33679,1,540,5.00432119179672,0.0,0.6103619580678548,1
812,9727,17687,29781,1,551,5.00432119179672,0.0,0.6129981158353076,1
640,11066,20696,25596,1,560,5.00432119179672,0.0,0.6113682455714621,1
455,12282,23800,21458,1,563,5.00432119179672,0.0,0.6104612405464147,1
336,12598,27089,17961,1,574,5.00432119179672,0.0,0.6072159457997575,1
210,12118,30176,15466,1,588,5.00432119179672,0.0,0.608518349852406,1
127,10870,32700,14263,1,598,5.00432119179672,0.0,0.6086591550915085,1
70,9005,34385,14487,1,611,5.00432119179672,0.0,0.6081187749477573,1
56,6991,35221,15668,1,622,5.00432119179672,0.0,0.6090103155884261,1
54,5225,35234,17405,1,640,5.00432119179672,0.0,0.609634721630082,1
61,3775,34602,19457,1,663,5.00432119179672,0.0,0.6102089193862622,1
74,2821,33375,21609,1,679,5.00432119179672,0.0,0.6087638064730432,1
