susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.006683204661877873
58555,1,2,0,0,3.54,0.0,-0.007116148392325971
58551,4,3,0,0,3.54,0.0,-0.006670790866482229
58550,4,3,1,0,3.54,0.0,-0.00601234580791406
58548,5,3,2,0,3.54,0.0,-0.0053295526606695455
58544,7,4,3,0,3.54,0.0,-0.004681855025111159
58540,11,4,3,0,3.54,0.0,-0.004086478196908739
58539,9,6,4,0,3.54,0.0,-0.0035456161305489507
58532,12,9,5,0,3.54,0.0,-0.0030560842529797154
58526,15,9,8,0,3.54,0.0,-0.0026130099512831906
58514,24,11,9,0,3.54,0.0,-0.0022112843185940314
58505,25,18,10,0,3.54,0.0,-0.0018461171963540385
58495,27,24,12,0,3.54,0.0,-0.0015132200433821603
58475,42,27,14,0,3.54,0.0,-0.0012088337323993559
58452,53,33,20,0,3.5381601618673986,0.0007215051500397803,-0.0009296945331572215
58428,63,41,26,0,3.536321651187485,0.0007215051500397803,-0.0013596325435931312
58399,78,52,29,0,3.5344844670024953,0.0007215051500397803,-0.0017822773908797106
58357,98,70,33,0,3.5326486083553568,0.0007215051500397803,-0.0022015796475708697
58296,124,96,42,0,3.5308140742896867,0.0007215051500397803,-0.002620623154455351
58210,179,116,53,0,3.5289808638497933,0.0007215051500397803,-0.0030418429964149812
58115,231,153,59,0,3.527148976080673,0.0007215051500397803,-0.003467176855969337
57987,309,190,72,0,3.525318410028013,0.0007215051500397803,-0.0038981706887507572
57850,370,244,94,0,3.5234891647381867,0.0007215051500397803,-0.004336052374161424
57670,454,318,115,1,3.521661239258258,0.0007215051500397803,-0.004781782437835595
57476,528,405,148,1,3.5198346326359773,0.0007215051500397803,-0.005236088043438928
57226,655,496,178,3,3.5180093439197813,0.0007215051500397803,-0.005699484584335257
56947,764,611,233,3,3.5161853721587946,0.0007215051500397803,-0.006172287998343387
56593,925,737,300,3,3.514362716402827,0.0007215051500397803,-0.006654620154094073
56201,1084,909,361,3,3.4665177054316856,0.018953302811934906,-0.007146409173219123
55731,1301,1083,440,3,3.4195795154415207,0.018953302811934906,-0.025410260723916295
55261,1486,1273,535,3,3.3735309591796834,0.018953302811934906,-0.041904467921679955
54713,1676,1513,652,4,3.328355175148729,0.018953302811934906,-0.0550254901588458
54024,1979,1753,797,5,3.28403562143228,0.018953302811934906,-0.06457035500344313
