susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,-0.003888339909735807,0,3.54,0.0
58555,2,1,0,-0.005329757823034422,0,3.539939429933298,2.3752967334272395e-5
58554,3,1,0,-0.005350563423185513,0,3.539878861305314,2.3752967334272395e-5
58553,3,2,0,-0.005498931112176755,0,3.539771975777901,4.191788442771699e-5
58546,10,2,0,-0.0052158673756934094,0,3.5396869945057357,3.3328969403097356e-5
58543,11,4,0,-0.00504248111490405,0,3.53944474425152,9.50117621251796e-5
58541,11,6,0,-0.004764076451395811,0,3.5393670260770596,3.048435336193644e-5
58538,11,9,0,-0.004609330732093702,0,4.688344878360689,0.00018975240971245343
58529,17,12,0,-0.004521935339403603,0,4.687376734097259,0.00026177771280726567
58506,37,15,0,-0.004530547252550299,0,4.686141352145875,0.0003341239046568545
58487,52,18,1,-0.004530302811273952,0,4.684710228244647,0.000387194039642853
58457,72,24,5,-0.004496334506842745,0,4.682743290738141,0.0005323658379132125
58417,96,34,10,-0.004504458188034785,1,4.680069808753348,0.0007239826260056806
58379,117,50,11,-0.004515307072730624,1,4.676131076690645,0.0010673868698527745
58304,173,63,17,-0.0045194748524376264,1,4.671173074556315,0.0013450422763535068
58202,239,92,24,-0.0045137509689123145,1,4.664080157805508,0.001926808820762012
58072,331,121,33,-0.004510538056405274,1,4.654672823069226,0.002560459851780018
57910,443,155,49,-0.004512635580582461,1,4.642875884175533,0.0032190974374114003
57732,548,208,69,-0.004516754519474714,1,4.627102254292924,0.004318140112819253
57494,703,265,95,-0.004524500265554615,1,4.6072378314452305,0.005461606921897165
57209,873,354,121,-0.004525505063442458,1,5.568830080610882,0.007155451231329474
56688,1243,468,157,-0.004542660017760776,2,5.5266745318291495,0.009206620040398664
56113,1634,602,206,-0.004559815558022372,3,5.473299495259629,0.011765233806181948
55491,2027,788,247,-0.0045941283964954826,5,5.408030368133415,0.014558279498218873
54632,2599,997,325,-0.004602970595898653,5,5.323452334654943,0.01914383252965406
53591,3257,1268,437,-0.004607309977055525,5,5.221864162598264,0.023442780538803033
52289,4055,1634,575,-0.0046461659337925084,5,5.094474475775626,0.030102499023603752
50535,5213,2053,748,-0.004670994490277584,9,4.9449344768714125,0.03643340938938477
48494,6476,2613,964,-0.0047278861846188425,11,4.762331628347284,0.046170890969748205
46008,7988,3300,1248,-0.0049207627336022445,14,4.5537031037106965,0.055304926817367636
43272,9562,4162,1544,-0.005005680362043648,18,4.302767183333107,0.07041437321652957
40128,11380,5119,1907,-0.005108685586789395,24,4.0464649062035996,0.07736803190365818
37034,12908,6235,2357,-0.004938161407352511,24,3.709601587366374,0.11021337694848259
33934,14224,7459,2914,-0.0052714727557303005,27,3.3662047836484454,0.12626731993139817
31181,15161,8589,3590,-0.005079509554502379,37,3.0059510675999763,0.15160886743748264
28880,15554,9801,4281,-0.005268744189127704,42,2.6737728858313914,0.16477492291717616
26984,15432,10950,5146,-0.00521552036864816,46,2.3547610754300248,0.1894624940725596
25387,15055,11985,6072,-0.0053746121650922445,59,2.0859156629012663,0.1969908267233132
24047,14542,12851,7052,-0.005473427357516048,66,1.8437111043580061,0.22100656714957534
22990,13780,13692,8025,-0.005729518124858657,71,1.6513256845005304,0.2253519005145777
22137,12909,14314,9123,-0.005919258488591865,75,1.4895487805513288,0.2446251638803118
21413,12045,14772,10245,-0.006310376547193368,83,1.3671924484561135,0.2449337018902864
20835,11193,15025,11412,-0.006582593173016187,93,1.276095221300728,0.24151392088642196
20325,10375,15158,12600,-0.006384795351337861,100,1.2053528273627234,0.2472687017153771
19867,9645,15141,13800,-0.006710250277431713,105,1.157142047313317,0.22386880469511614
19486,8852,15187,14917,-0.006280462917442782,116,1.116435692139642,0.24354347591165051
19141,8184,15032,16077,-0.006659403454482549,124,1.0895250933087142,0.21284020655501656
18854,7535,14834,17201,-0.006328228654635265,134,1.066219807339692,0.23416492458572385
18582,6978,14584,18272,-0.006545835457490887,142,1.0500172310625835,0.21257697759452304
18294,6537,14228,19344,-0.00615880435752428,155,1.0364722673490157,0.22568458214014814
18059,6086,13908,20342,-0.006311750477007019,163,1.0268180199960313,0.20774212027313235
17819,5653,13616,21295,-0.006104952778735494,175,1.018857322644474,0.21621742158908877
17656,5299,13164,22251,-0.006140485222921731,188,1.0132092934860442,0.19572256331657098
17475,4929,12773,23182,-0.005924125656362294,199,1.008414413431124,0.20659310710183137
17312,4630,12372,24038,-0.0059009668551531095,206,1.00502678121615,0.1839663385230713
17198,4279,11981,24888,-0.005868032107455917,212,1.0020541703356622,0.19782086647358701
17014,4062,11623,25643,-0.005928337382265556,216,0.9999301243982213,0.17620838915449683
16853,3832,11229,26416,-0.005927286384805361,228,0.99810894379837,0.18339957555592012
16732,3629,10824,27137,-0.00590480910899469,236,0.9967760234145562,0.16437657196264957
16616,3446,10424,27834,-0.005865414094526627,238,0.9956014070505697,0.17334892342066371
16508,3281,10065,28458,-0.005878944487870174,246,0.9947082077770832,0.15945980454956235
16416,3083,9704,29096,-0.005780545120842553,259,0.9939670414864176,0.15742004723606576
16336,2941,9288,29729,-0.00583419972596362,264,0.9934124609755444,0.13979700307446544
16274,2764,8959,30291,-0.005764641911657255,270,0.9929360546805555,0.1396078368084279
16217,2637,8612,30815,-0.00581664693467854,277,0.992547067400912,0.1324863880156969
16159,2528,8270,31320,-0.005817046176021415,281,0.9922213862780845,0.12786513725978582
16105,2396,7984,31780,-0.005852570153608513,293,0.9919466950417708,0.12365757321173018
16069,2305,7631,32256,-0.00581864368960368,297,0.9917117377998466,0.12069545402990393
16040,2234,7329,32655,-0.005767448247450994,300,0.9915162199406137,0.11422185059559309
16025,2099,7047,33081,-0.0058367094692027745,306,0.991345514942273,0.11258590773556136
16022,1983,6774,33469,-0.005802774344183491,310,0.9912033757980048,0.10563921648322776
16024,1877,6517,33827,-0.005785904369473774,313,0.9910751371189096,0.10656577879312426
16035,1787,6292,34125,-0.005820841704012775,319,0.9909689612421619,0.09875566091076401
16072,1713,6041,34409,-0.005855585129217825,323,0.990873489777595,0.09852970419526198
16092,1680,5762,34692,-0.005770617937004088,332,0.9907928088550869,0.09236618971115562
16119,1598,5520,34985,-0.005805365669334616,336,0.9907226829530698,0.0884524706897872
16143,1559,5275,35243,-0.005839917554105119,338,0.9906617578753201,0.08430401947473491
16172,1497,5066,35481,-0.005909028445788099,342,0.9906075911946519,0.08185271787205192
16200,1414,4891,35707,-0.005909434480863052,346,0.9905599156823849,0.07846643053196475
16210,1404,4672,35923,-0.005892559569825972,349,0.9905171195682452,0.07643314071409768
16255,1372,4448,36132,-0.005892762038930025,351,0.9904793329957576,0.07307124852337367
16311,1318,4302,36273,-0.005841522919386984,354,0.9904452024451001,0.07120425875019837
16379,1261,4125,36435,-0.00584192439862543,358,0.9904148523766352,0.06817138764396624
16424,1257,3932,36585,-0.005807759716828757,360,0.9903875379084004,0.06584141678632757
16500,1204,3783,36711,-0.005807759716828757,360,0.9903640614729611,0.06057842324706845
16535,1157,3659,36847,-0.005807759716828757,360,0.9903424523637485,0.05935566056138179
16599,1110,3531,36956,-0.005807959309918207,362,0.9903229739000529,0.056879337851377075
16662,1091,3396,37044,-0.005825442922688296,365,0.9903051660911705,0.055136990572379266
16729,1068,3253,37141,-0.005825643140691859,367,0.9902888640972057,0.05342007004188214
16821,1026,3136,37205,-0.005774386471437409,370,0.9902740308715419,0.051350187882054046
16912,984,3021,37270,-0.005791671679241068,371,0.9902610331649544,0.04743154125059313
16992,949,2924,37321,-0.0057745849517065965,372,0.9902489648457745,0.04623289604597626
17092,931,2782,37380,-0.005757497636847985,373,0.9902386417603627,0.04146402830379617
17165,871,2677,37471,-0.005740409734634951,374,0.9902291100431176,0.03994153089791674
17250,859,2579,37495,-0.00572332124503721,375,0.9902202105149772,0.03884390234182007
17352,860,2456,37515,-0.00572332124503721,375,0.9902119642792766,0.037447056973854184
17447,828,2350,37558,-0.00572332124503721,375,0.9902042885603305,0.036212323002453854
17540,813,2251,37579,-0.00572332124503721,375,0.9901968975579624,0.036179227834178145
17646,777,2167,37592,-0.005706232168024475,376,0.9901899992701676,0.035034907828185725
17731,752,2093,37604,-0.005706428325885184,378,0.9901835649581696,0.033864930072050804
17822,740,2028,37590,-0.005706428325885184,378,0.9901774251363525,0.03344767911194705
17940,718,1947,37573,-0.005741001753240056,380,0.9901716549085429,0.0325220424135895
18021,706,1880,37569,-0.005775577557755775,382,0.9901661829944688,0.03187741102509561
18113,687,1821,37555,-0.005775577557755775,382,0.9901610109212887,0.03112275835776072
18201,654,1759,37561,-0.00579286635152557,383,0.9901560836600735,0.03060203106644082
18304,624,1722,37525,-0.00579286635152557,383,0.9901513614656907,0.030254251985935
18412,609,1661,37492,-0.005775776119916113,384,0.9901468818544331,0.029595453751537475
