susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.38744495057683753
58555,1,1,1,0,3.54,0.0,-0.6739016145108208
58555,1,1,1,0,3.54,0.0,-0.9005321459974903
58555,1,1,1,0,3.54,0.0,-1.0650255735406033
58555,1,1,1,0,3.54,0.0,-1.1594693764731887
58555,0,1,2,0,3.54,0.0,-1.2003052978594664
58553,2,1,2,0,3.54,0.0,-1.2144950322075716
58553,2,1,2,0,3.54,0.0,-1.2187115106836148
58553,1,2,2,0,3.54,0.0,-1.2202931461691713
58552,2,2,2,0,3.54,0.0,-1.2208001251816993
58549,5,2,2,0,3.54,0.0,-1.220567920110298
58549,2,4,3,0,3.54,0.0,-1.2202061535373183
58543,8,3,4,0,3.54,0.0,-1.220174867490483
58541,9,4,4,0,3.54,0.0,-1.2204153023905964
58535,14,5,4,0,3.54,0.0,-1.2206640167562086
58534,13,6,5,0,3.54,0.0,-1.2202947136746514
58528,15,10,5,0,3.54,0.0,-1.220528435280537
58522,16,16,4,0,3.54,0.0,-1.2210827281328038
58505,26,22,5,0,3.54,0.0,-1.2215664624327582
58486,37,26,9,0,3.54,0.0,-1.221935246926803
58470,43,35,10,0,3.54,0.0,-1.2220477729506913
58442,57,46,13,0,3.54,0.0,-1.2218344942542014
58407,78,58,15,0,3.54,0.0,-1.221697490393351
58356,108,73,21,0,3.54,0.0,-1.2218844478522801
58294,142,98,24,0,3.54,0.0,-1.2219349391433612
58198,191,139,30,0,3.54,0.0,-1.2222726321839175
58094,248,174,42,0,3.54,0.0,-1.2222729758483244
57945,330,227,56,0,3.54,0.0,-1.2224160143123188
57776,427,284,71,0,3.54,0.0,-1.223004566876384
57548,545,373,92,0,3.54,0.0,-1.2234314419250591
57265,701,481,111,0,3.54,0.0,-1.2238407540327891
56942,847,617,151,1,3.54,0.0,-1.2243003866838869
56582,991,783,201,1,3.54,0.0,-1.2248781664954178
56096,1243,961,257,1,3.54,0.0,-1.2254479366651179
55550,1483,1203,321,1,3.54,0.0,-1.2263270167768858
54941,1722,1501,393,1,3.54,0.0,-1.2272941320656643
54236,2045,1760,516,1,3.54,0.0,-1.2276997793306355
53460,2341,2121,634,2,3.54,0.0,-1.2284501882614163
52508,2727,2539,781,3,3.54,0.0,-1.2296410820703259
51337,3226,3034,958,3,3.54,0.0,-1.2313246496438868
49938,3853,3625,1137,5,3.54,0.0,-1.2331825558310063
48190,4685,4286,1392,5,3.54,0.0,-1.2352600320747982
46094,5641,5132,1685,6,3.54,0.0,-1.2378531918676001
43600,6754,6199,1994,11,3.54,0.0,-1.2417216193647262
40614,8126,7361,2436,21,3.54,0.0,-1.2450213847384444
37433,9393,8706,3000,26,3.54,0.0,-1.2485972930558993
33803,10841,10264,3617,33,3.54,0.0,-1.252596992677312
29935,12165,12085,4330,43,3.54,0.0,-1.2568163468294866
25887,13411,14058,5154,48,3.54,0.0,-1.2606644532733664
21974,14281,16118,6131,54,3.54,0.0,-1.2645686590944538
17938,15032,18260,7267,61,3.54,0.0,-1.267914915107682
14336,15316,20311,8523,72,3.54,0.0,-1.2708989770425345
11110,15212,22259,9895,82,3.54,0.0,-1.272982882880549
8415,14642,23972,11438,91,3.54,0.0,-1.2728917620230076
6095,13827,25475,13060,101,4.698076848539361,0.0,-1.2721142845617117
2772,14602,25777,15291,116,4.698076848539361,0.0,-1.2656238686273613
1255,13561,26061,17549,132,4.698076848539361,0.0,-1.2573172901570153
548,11939,26113,19808,150,4.698076848539361,0.0,-1.2472580677432208
284,10285,25743,22084,162,4.698076848539361,0.0,-1.2352607784389107
176,8724,25198,24281,179,4.698076848539361,0.0,-1.2218275402441372
158,7420,24356,26433,191,4.698076848539361,0.0,-1.2060613524863455
160,6307,23409,28479,203,4.698076848539361,0.0,-1.1891274515559833
139,5403,22307,30492,217,4.698076848539361,0.0,-1.1699276537333847
142,4638,21231,32314,233,4.698076848539361,0.0,-1.151653311118523
166,3937,20211,34000,244,4.698076848539361,0.0,-1.1330475839127643
201,3400,18978,35728,251,4.698076848539361,0.0,-1.1118387020040883
216,2983,17776,37321,262,4.698076848539361,0.0,-1.089436137141569
243,2631,16682,38727,275,4.698076848539361,0.0,-1.067281078722914
260,2323,15671,40022,282,4.698076848539361,0.0,-1.0449719689355956
288,2123,14648,41211,288,4.698076848539361,0.0,-1.0213828293070022
321,1961,13683,42294,299,4.698076848539361,0.0,-0.9996084538623998
336,1858,12784,43276,304,4.698076848539361,0.0,-0.9797244868916278
367,1785,11969,44124,313,4.698076848539361,0.0,-0.9596156221059535
