susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
58557,0,1,0,0,3.54,0.0,-0.0020944206770900087
58555,2,1,0,0,3.54,0.0,-0.007080980124015829
58555,1,2,0,0,3.54,0.0,-0.007869420371540602
58552,2,3,1,0,3.54,0.0,-0.007755070555327215
58550,4,3,1,0,3.54,0.0,-0.007412170583826078
58549,5,3,1,0,3.54,0.0,-0.007037492948447077
58548,4,5,1,0,3.54,0.0,-0.006690670476962571
58543,8,6,1,0,3.54,0.0,-0.006390032356082123
58537,12,8,1,0,3.54,0.0,-0.0061385791582366095
58530,13,14,1,0,3.54,0.0,-0.005934925731015806
58517,19,17,5,0,3.54,0.0,-0.005776080461154831
58502,31,19,6,0,3.54,0.0,-0.005654177293189133
58485,42,24,7,0,3.54,0.0,-0.005567539520916434
58465,49,35,9,0,3.54,0.0,-0.005510338278243479
58437,66,45,10,0,3.54,0.0,-0.005480860201157858
58400,86,62,10,0,3.54,0.0,-0.005476745055053795
58329,132,79,18,0,3.54,0.0,-0.005494731032623781
58254,177,106,21,0,3.54,0.0,-0.005531642955734145
58194,200,137,27,0,3.54,0.0,-0.00558712919948873
58095,244,181,38,0,3.54,0.0,-0.0056582004871280735
57944,332,227,55,0,3.54,0.0,-0.005743117975664699
57782,420,283,73,0,3.54,0.0,-0.005840830861772714
57583,515,345,115,0,3.54,0.0,-0.00595145514578965
57379,599,428,151,1,3.54,0.0,-0.006072686578777542
57102,744,517,194,1,3.54,0.0,-0.006203089895324268
56824,830,666,236,2,3.54,0.0,-0.006344153808875745
56446,1000,818,291,3,3.54,0.0,-0.0064952167485200895
55907,1165,987,496,3,3.54,0.0,-0.006656409369477369
55249,1417,1139,750,3,3.54,0.0,-0.006826713731649718
54546,1637,1387,985,3,3.54,0.0,-0.0070044462198993185
53811,1860,1671,1212,4,3.54,0.0,-0.0071864529476177354
52881,2209,1958,1505,5,3.54,0.0,-0.007376190625386264
51801,2611,2308,1832,6,3.54,0.0,-0.0075754653589120684
50602,3061,2720,2166,9,3.54,0.0,-0.007784997171351102
49125,3698,3210,2511,14,3.54,0.0,-0.008002301925650521
47425,4424,3807,2886,16,3.54,0.0,-0.0082258361002201
45475,5271,4509,3284,19,3.54,0.0,-0.008456105762254891
43158,6251,5404,3722,23,3.54,0.0,-0.008693725270647396
40549,7304,6414,4264,27,3.54,0.0,-0.008938991965602683
37587,8474,7636,4830,31,3.54,0.0,-0.009190751750865693
34263,9893,8910,5458,34,3.54,0.0,-0.009446896434291915
30638,11206,10490,6183,41,3.54,0.0,-0.009716332890401917
26862,12420,12264,6964,48,3.54,0.0,-0.009990593008912526
23027,13485,14060,7931,55,3.54,0.0,-0.010268629453789112
19245,14253,16029,8964,67,3.54,0.0,-0.010555050299018744
15601,14886,17817,10178,76,3.54,0.0,-0.01084059883791592
12272,15060,19578,11562,86,3.54,0.0,-0.011129867962209297
9435,14713,21323,12990,97,3.54,0.0,-0.01142331879793214
7055,13994,22850,14554,105,3.54,0.0,-0.011717261624604944
5144,13079,23929,16286,120,3.54,0.0,-0.012014113045442056
3721,11887,24734,18087,129,3.54,0.0,-0.012309134518552142
2676,10591,25267,19884,140,3.54,0.0,-0.012609828270451356
1897,9272,25513,21724,152,3.54,0.0,-0.012908010949916237
1340,8014,25464,23569,171,3.54,0.0,-0.013207122808939908
970,6777,25190,25443,178,3.54,0.0,-0.013507482467653256
719,5706,24749,27191,193,3.54,0.0,-0.013806197674935206
564,4860,24029,28898,207,3.54,0.0,-0.014097585159784704
476,4056,23230,30582,214,3.54,0.0,-0.014389751990492899
411,3382,22398,32142,225,3.54,0.0,-0.014683950127024675
386,2865,21393,33682,232,3.54,0.0,-0.014975055811712842
364,2419,20356,35173,246,3.54,0.0,-0.01526599496291688
363,2063,19349,36520,263,3.3747405486707414,0.0,-0.015551087461742441
386,1664,18413,37827,268,3.3747405486707414,0.0,-0.015832344221470156
410,1332,17524,39018,274,3.3747405486707414,0.0,-0.016114778968808932
453,1110,16551,40163,281,3.3747405486707414,0.0,-0.016395367932147062
480,906,15576,41308,288,3.3747405486707414,0.0,-0.01667289734059843
518,765,14710,42269,296,3.3747405486707414,0.0,-0.01694812079117245
577,675,13796,43207,303,3.6468315047982856,0.0,-0.017221251141999815
582,636,12990,44042,308,3.6468315047982856,0.0,-0.017495200250249927
591,578,12224,44855,310,3.6468315047982856,0.0,-0.01776454409721518
616,523,11476,45625,318,3.6468315047982856,0.0,-0.018030128926286304
662,487,10823,46263,323,3.6468315047982856,0.0,-0.018292355665160624
709,472,10168,46884,325,3.6468315047982856,0.0,-0.018554680688042172
747,461,9565,47458,327,3.6468315047982856,0.0,-0.018816346259683737
793,453,9019,47965,328,3.6468315047982856,0.0,-0.019078784880075368
810,467,8535,48413,333,3.6468315047982856,0.0,-0.019343156629786747
