susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
58557,0,1,0,-0.003888339909735807,0,3.54,0.0
58555,2,1,0,0.12649964723276083,0,3.5399999708390264,1.1435675923922564e-8
58554,2,2,0,0.2088046182954505,0,3.5399998554128382,4.526517243314787e-8
58552,3,3,0,0.2662468962018123,0,3.5399995942152134,1.0243044688127743e-7
58547,7,4,0,0.3076824489199109,0,3.539999132511782,1.810601979893265e-7
58541,11,6,0,0.33814182073181576,0,3.539998096642847,4.0622324991689355e-7
58537,12,7,2,0.3612202475372452,0,3.5399966920579415,5.508180209670565e-7
58530,17,9,2,0.3789564964922155,0,3.539994837051315,7.27454522723586e-7
58522,22,10,4,0.39281837713382667,0,3.539992941259239,7.434493782811956e-7
58513,29,12,4,0.4039022189790158,0,3.539989990373285,1.1572133813372867e-6
58503,34,16,5,0.41299067804463246,0,3.5399842479742234,2.2519300403055313e-6
58491,43,19,5,0.420586653036593,0,3.539976609988127,2.9953071680528562e-6
58469,58,25,6,0.4270038514550281,0,3.539965653407867,4.296737553261855e-6
58454,62,33,9,0.4324474530417381,0,3.539945029506505,8.087913393761263e-6
58422,80,44,12,0.4370371690060664,0,3.5399110329462795,1.333227180681354e-5
58393,90,59,16,0.44096328490681574,0,3.5398505435260326,2.3722168916960817e-5
58344,125,69,20,0.44444296578020315,0,3.539768475724844,3.2185337841477834e-5
58284,157,82,35,0.447520945119376,0,3.5396614687057433,4.196734727853341e-5
58230,177,110,41,0.4503740478825894,0,3.539487185284799,6.835551428437957e-5
58138,233,137,50,0.4529301934160791,0,3.539207011643527,0.00010989411631058923
58017,304,178,59,0.45517325614448406,0,3.5387779985018715,0.00016829278269501094
57878,361,239,80,0.4571670035798396,0,3.5380035112775925,0.00030386609768848726
57690,469,306,92,0.45892415213933585,1,3.536758205713404,0.0004887377739774889
57464,596,374,123,0.4605650622907638,1,3.5350326819441333,0.0006775373356605553
57209,722,470,155,0.46211595537434175,2,3.5321320905871905,0.001139706919098176
56890,873,599,194,0.4635094416745762,2,3.5275123576360663,0.001817267076022453
56515,1048,733,260,0.46483990169090006,2,3.5204247843688385,0.002793118719559796
56063,1256,882,355,0.46607249446953253,2,3.511272004653255,0.003617092186309205
55539,1509,1063,444,0.46737141431976337,3,3.4987218077332307,0.004977724298235788
54967,1720,1314,552,0.46857679653538176,5,3.4805212505497782,0.007254912492628178
54308,1998,1575,672,0.46997996627819505,5,3.456838927425091,0.009508982555141703
53525,2293,1910,824,0.4714819988449985,6,3.425858208008868,0.012558874060156234
52627,2621,2311,992,0.4733036985348047,7,3.3856731492491123,0.016497289796110114
51551,3070,2748,1182,0.47511722168546816,7,3.3375800881055295,0.02007496772197694
50307,3606,3228,1408,0.4774260026303875,9,3.28066958414871,0.024242199124608205
48945,4137,3753,1710,0.47970717830551096,13,3.217363306228789,0.027636582053560392
47404,4708,4393,2039,0.48203739140419544,14,3.145755457178579,0.03214915539371603
45779,5173,5155,2435,0.48454168913896056,16,3.064407866450907,0.03773507354778462
43986,5817,5839,2897,0.4876920163428687,19,2.988461365277246,0.03661117102472124
41974,6499,6708,3357,0.4914259677263653,20,2.8917295077344556,0.04840316616747331
39840,7217,7568,3910,0.49520489968251064,23,2.797214044751768,0.049699740472179316
37699,7659,8586,4585,0.4987033697821676,29,2.6807564249261477,0.06444041322267186
35470,8193,9596,5264,0.5022197271000696,35,5.009753542492714,0.06291001203322868
28206,13761,10615,5937,0.5064935571561127,39,4.681403483110096,0.0816841271266105
22742,16949,12057,6768,0.5106808481613203,42,4.065908210084223,0.08985922603897017
18908,18101,13775,7723,0.516464366866378,51,3.6996969964584223,0.11905791350508914
15707,18554,15431,8808,0.5245590707535505,58,3.3104398181419716,0.14365339697582807
13317,18138,16999,10040,0.5347754650162452,64,2.908664864118613,0.17314603502411413
11575,17217,18380,11313,0.5478797568103292,73,2.5325626926954152,0.19602285863298477
10267,16055,19444,12712,0.5662012453528016,80,2.1997311583486936,0.21576532086689096
9345,14667,20362,14098,0.5884294025258481,86,1.9219797158302003,0.22959765944826077
8682,13213,21046,15521,0.6125736885853277,96,1.6822401086593115,0.2572369367044976
8210,11811,21419,17009,0.6387199681567071,109,1.5174895359556198,0.23799628285447186
7863,10501,21542,18539,0.6640501475975737,113,1.3878845560681943,0.245701518329891
7549,9340,21579,19970,0.6910327527747349,120,1.2897722563461909,0.2465848403153093
7355,8288,21343,21446,0.7170397267075335,126,1.223982516480873,0.21946573931558483
7204,7343,21019,22858,0.7403571171210934,134,1.1706805187768141,0.2278033355044124
7095,6522,20616,24183,0.7613915298965224,142,1.1346222326701572,0.19956930802926212
6994,5741,20171,25507,0.7812623655449504,145,1.104994898259144,0.20486016474787055
6931,5093,19611,26764,0.7980992496804673,159,1.084352796445399,0.17950450086253053
6840,4564,18914,28073,0.8148686771149611,167,1.0675538886296494,0.17804356043088762
6772,4058,18275,29281,0.8289327250039993,172,1.0556751043305115,0.15316813262406276
6769,3682,17555,30372,0.8417959731515403,180,1.045994394095068,0.14740304311851618
6746,3293,16895,31441,0.853666904307427,183,1.0386887815692203,0.13047042733321054
6743,2976,16225,32426,0.8642982866656843,188,1.0327904189776198,0.1211441815033869
6764,2655,15577,33368,0.8736318274895319,194,1.0279989500981102,0.11197527376433707
6789,2398,14927,34245,0.881526861936981,199,1.0241059958244696,0.10244899565881087
6821,2161,14266,35106,0.8888098056058534,204,1.0209012357349176,0.0939647124231627
6859,1984,13617,35887,0.8957018807290135,211,1.0182444750702024,0.08597587124042157
6884,1852,12967,36639,0.90167908979028,216,1.0159972772973946,0.0795623840493522
6963,1664,12341,37370,0.9070933127822327,220,1.0140651445025253,0.07432058260435462
7041,1522,11723,38049,0.9120286622605651,223,1.012378583654353,0.07008313820826241
7104,1398,11167,38660,0.9162978760832067,229,1.0108898807285847,0.06652355433936906
7171,1295,10627,39231,0.9202548397350033,234,1.0095626318456357,0.063535493581482
7282,1191,10133,39714,0.9239681343172383,238,1.0083693552693336,0.06099775253748609
7374,1110,9580,40254,0.9271213133018095,240,1.0072880067067738,0.058866985079490994
7483,1052,9084,40697,0.930056361843214,242,1.006301831076594,0.057043917607525765
7598,970,8673,41073,0.9329513497330866,244,1.005397608229597,0.05546756329081063
7728,894,8206,41483,0.9355244404628638,247,1.0045642478761454,0.054122714451829125
7826,842,7787,41853,0.9380333921547624,250,1.003792693507233,0.05297591578183043
7951,804,7325,42226,0.9404523011934564,252,1.0030754558795503,0.052001273522576844
8063,734,7005,42499,0.9425928562594242,257,1.0024066872520663,0.0511468688850835
8167,707,6643,42783,0.9447441454270255,258,1.0017814678342725,0.050393743719922945
8273,671,6308,43044,0.9466991199213328,262,1.0011954387658528,0.0497416006785616
8384,615,6032,43262,0.9485523210951935,265,1.0006450766889448,0.04915949150530236
8485,587,5712,43505,0.9504942040323482,269,1.0001272068176046,0.04864876848449443
8635,558,5424,43670,0.9521921649566046,271,0.9996390292533323,0.04820456154047718
